"character","fileIndex","x","y","width","height","u1","u2","u3"
" ","0","1","1","4","4","0","127","46"
"!","0","6","1","21","103","10","33","41"
"""","0","28","1","35","42","5","34","45"
"#","0","64","1","77","102","4","34","85"
"$","0","142","1","75","126","5","25","86"
"%","0","218","1","104","104","4","33","112"
"&","0","323","1","99","104","5","33","105"
"'","0","423","1","17","43","15","34","47"
"(","0","441","1","37","128","14","26","54"
")","0","479","1","38","128","2","26","54"
"*","0","518","1","47","49","10","35","67"
"+","0","566","1","70","71","9","64","89"
",","0","637","1","24","42","6","111","36"
"-","0","662","1","44","14","8","92","61"
".","0","707","1","22","22","7","115","37"
"/","0","730","1","48","102","1","34","50"
"0","0","779","1","80","104","4","33","88"
"1","0","860","1","44","101","12","34","88"
"2","0","905","1","71","102","6","33","88"
"3","0","977","1","74","104","6","33","88"
"4","0","1052","1","79","102","4","34","88"
"5","0","1132","1","72","104","8","33","88"
"6","0","1205","1","75","105","7","32","88"
"7","0","1281","1","71","102","10","34","88"
"8","0","1353","1","78","105","5","33","88"
"9","0","1432","1","75","104","6","33","88"
":","0","1508","1","22","74","7","63","37"
";","0","1531","1","24","91","6","63","37"
"<","0","1556","1","61","72","7","63","75"
"=","0","1618","1","75","40","8","79","91"
">","0","1694","1","61","72","7","63","75"
"?","0","1756","1","64","103","8","33","77"
"@","0","1821","1","101","103","7","33","115"
"A","0","1923","1","93","101","1","34","94"
"B","0","1","130","81","101","10","35","96"
"C","0","83","130","88","104","5","33","96"
"D","0","172","130","89","100","10","35","104"
"E","0","262","130","74","102","10","34","88"
"F","0","337","130","71","102","11","34","87"
"G","0","409","130","90","104","5","33","102"
"H","0","500","130","85","102","10","33","105"
"I","0","586","130","17","102","10","34","37"
"J","0","604","130","59","103","2","34","74"
"K","0","664","130","79","102","10","34","88"
"L","0","744","130","74","102","10","34","87"
"M","0","819","130","101","102","9","34","120"
"N","0","921","130","83","102","10","34","103"
"O","0","1005","130","100","104","5","33","111"
"P","0","1106","130","83","101","10","35","98"
"Q","0","1190","130","102","126","5","33","111"
"R","0","1293","130","87","101","10","35","98"
"S","0","1381","130","76","104","6","33","87"
"T","0","1458","130","88","102","2","34","92"
"U","0","1547","130","86","105","9","33","104"
"V","0","1634","130","93","102","1","33","95"
"W","0","1728","130","126","102","2","34","129"
"X","0","1855","130","90","102","1","34","92"
"Y","0","1946","130","90","102","0","34","90"
"Z","0","1","257","80","101","3","34","86"
"[","0","82","257","33","124","16","28","53"
"\","0","116","257","48","102","1","34","50"
"]","0","165","257","33","124","4","28","53"
"^","0","199","257","65","58","6","35","77"
"_","0","265","257","64","11","0","141","64"
"`","0","330","257","38","32","4","30","48"
"a","0","369","257","69","75","5","62","75"
"b","0","439","257","70","109","9","28","83"
"c","0","510","257","64","75","6","62","74"
"d","0","575","257","71","110","4","27","85"
"e","0","647","257","68","75","5","62","77"
"f","0","716","257","47","109","3","27","50"
"g","0","764","257","69","108","5","57","78"
"h","0","834","257","64","108","9","28","82"
"i","0","899","257","20","105","8","31","35"
"j","0","920","257","42","135","-13","31","37"
"k","0","963","257","64","108","9","28","72"
"l","0","1028","257","16","107","11","28","37"
"m","0","1045","257","103","73","9","62","121"
"n","0","1149","257","64","74","9","62","82"
"o","0","1214","257","74","75","4","62","82"
"p","0","1289","257","70","104","9","62","83"
"q","0","1360","257","71","105","4","61","84"
"r","0","1432","257","45","73","9","62","55"
"s","0","1478","257","58","75","5","62","67"
"t","0","1537","257","47","97","2","40","51"
"u","0","1585","257","64","74","9","63","82"
"v","0","1650","257","69","72","1","63","70"
"w","0","1720","257","106","72","1","63","108"
"x","0","1827","257","72","73","1","63","73"
"y","0","1900","257","71","103","1","63","73"
"z","0","1972","257","62","72","3","63","68"
"{","0","1","393","36","125","7","28","47"
"|","0","38","393","14","116","17","33","48"
"}","0","53","393","36","125","4","28","47"
"~","0","90","393","73","23","5","86","83"
" ","0","164","393","4","4","0","127","46"
"¡","0","169","393","22","102","10","62","42"
"¢","0","192","393","65","102","7","34","77"
"£","0","258","393","86","104","6","33","96"
"¤","0","345","393","69","68","4","51","77"
"¥","0","415","393","87","101","1","34","89"
"¦","0","503","393","14","116","17","33","48"
"§","0","518","393","67","117","29","25","124"
"¨","0","586","393","44","19","40","29","124"
"©","0","631","393","101","100","4","35","109"
"ª","0","733","393","45","46","5","33","52"
"«","0","779","393","75","75","7","63","90"
"¬","0","855","393","64","38","6","83","76"
"­","0","920","393","56","12","4","93","64"
"®","0","977","393","101","100","4","35","109"
"¯","0","1079","393","41","11","11","41","64"
"°","0","1121","393","36","35","1","27","124"
"±","0","1158","393","88","94","18","37","124"
"²","0","1247","393","40","55","7","33","54"
